7848	28839
125	0	0.5
2380	0	0.5
945	1	0.2
1111	1	0.2
1745	1	0.2
2380	1	0.2
4296	1	0.2
125	2	0.14285714285714285
376	2	0.14285714285714285
1111	2	0.14285714285714285
1487	2	0.14285714285714285
1745	2	0.14285714285714285
2380	2	0.14285714285714285
3237	2	0.14285714285714285
2380	3	1.0
376	4	0.25
528	4	0.25
2380	4	0.25
3237	4	0.25
125	5	0.5
2380	5	0.5
1111	6	0.25
1745	6	0.25
2380	6	0.25
3237	6	0.25
1111	7	0.3333333333333333
1487	7	0.3333333333333333
1745	7	0.3333333333333333
1487	8	0.25
1745	8	0.25
2380	8	0.25
3237	8	0.25
125	9	0.25
945	9	0.25
3000	9	0.25
7710	9	0.25
945	10	0.3333333333333333
2380	10	0.3333333333333333
7710	10	0.3333333333333333
125	11	0.3333333333333333
2380	11	0.3333333333333333
3237	11	0.3333333333333333
125	12	0.3333333333333333
376	12	0.3333333333333333
3237	12	0.3333333333333333
125	13	0.2
376	13	0.2
1111	13	0.2
2380	13	0.2
3237	13	0.2
125	14	0.3333333333333333
945	14	0.3333333333333333
2380	14	0.3333333333333333
376	15	0.3333333333333333
528	15	0.3333333333333333
7710	15	0.3333333333333333
376	16	0.25
945	16	0.25
2380	16	0.25
3237	16	0.25
2380	17	1.0
125	18	0.2
376	18	0.2
2380	18	0.2
3237	18	0.2
4296	18	0.2
528	19	0.5
3237	19	0.5
125	20	0.16666666666666666
376	20	0.16666666666666666
945	20	0.16666666666666666
2380	20	0.16666666666666666
3237	20	0.16666666666666666
7710	20	0.16666666666666666
125	21	0.14285714285714285
376	21	0.14285714285714285
528	21	0.14285714285714285
945	21	0.14285714285714285
2380	21	0.14285714285714285
3237	21	0.14285714285714285
7710	21	0.14285714285714285
1745	22	0.25
2380	22	0.25
3000	22	0.25
3237	22	0.25
125	23	0.16666666666666666
376	23	0.16666666666666666
1487	23	0.16666666666666666
2380	23	0.16666666666666666
3237	23	0.16666666666666666
7710	23	0.16666666666666666
125	24	0.3333333333333333
528	24	0.3333333333333333
2380	24	0.3333333333333333
1111	25	0.3333333333333333
1487	25	0.3333333333333333
2380	25	0.3333333333333333
2380	26	0.5
3237	26	0.5
125	27	0.1111111111111111
376	27	0.1111111111111111
528	27	0.1111111111111111
945	27	0.1111111111111111
1111	27	0.1111111111111111
1745	27	0.1111111111111111
2380	27	0.1111111111111111
3237	27	0.1111111111111111
7710	27	0.1111111111111111
125	28	0.3333333333333333
2380	28	0.3333333333333333
3237	28	0.3333333333333333
1111	29	0.3333333333333333
1745	29	0.3333333333333333
