5636	31826
300	0	0.16666666666666666
886	0	0.16666666666666666
1313	0	0.16666666666666666
3534	0	0.16666666666666666
4936	0	0.16666666666666666
5467	0	0.16666666666666666
325	1	0.07142857142857142
361	1	0.07142857142857142
365	1	0.07142857142857142
885	1	0.07142857142857142
1352	1	0.07142857142857142
1510	1	0.07142857142857142
1674	1	0.07142857142857142
1710	1	0.07142857142857142
1731	1	0.07142857142857142
2482	1	0.07142857142857142
3967	1	0.07142857142857142
4084	1	0.07142857142857142
5084	1	0.07142857142857142
5591	1	0.07142857142857142
2233	2	0.5
5058	2	0.5
1419	4	0.5
4222	4	0.5
128	5	0.2
253	5	0.2
1803	5	0.2
2456	5	0.2
4017	5	0.2
365	6	0.09090909090909091
716	6	0.09090909090909091
1131	6	0.09090909090909091
1352	6	0.09090909090909091
1613	6	0.09090909090909091
1674	6	0.09090909090909091
2382	6	0.09090909090909091
4244	6	0.09090909090909091
4335	6	0.09090909090909091
4429	6	0.09090909090909091
5038	6	0.09090909090909091
2460	7	0.5
3415	7	0.5
3818	8	0.5
4335	8	0.5
5058	9	1.0
1285	10	0.3333333333333333
2246	10	0.3333333333333333
3956	10	0.3333333333333333
2702	11	0.2
3730	11	0.2
4991	11	0.2
5001	11	0.2
5467	11	0.2
649	12	0.2
1064	12	0.2
2639	12	0.2
4001	12	0.2
5617	12	0.2
3863	13	0.5
5135	13	0.5
469	14	0.2
885	14	0.2
1352	14	0.2
1731	14	0.2
3967	14	0.2
282	15	0.14285714285714285
1009	15	0.14285714285714285
1334	15	0.14285714285714285
1674	15	0.14285714285714285
4184	15	0.14285714285714285
4522	15	0.14285714285714285
4765	15	0.14285714285714285
1461	16	0.2
2003	16	0.2
2477	16	0.2
2513	16	0.2
4293	16	0.2
365	17	0.125
794	17	0.125
937	17	0.125
1131	17	0.125
2185	17	0.125
3415	17	0.125
5084	17	0.125
5592	17	0.125
1076	18	0.25
2421	18	0.25
3885	18	0.25
5005	18	0.25
2323	19	0.3333333333333333
3179	19	0.3333333333333333
3396	19	0.3333333333333333
147	20	0.05
300	20	0.05
408	20	0.05
451	20	0.05
634	20	0.05
1337	20	0.05
1706	20	0.05
1716	20	0.05
1948	20	0.05
2771	20	0.05
3121	20	0.05
3189	20	0.05
3646	20	0.05
4018	20	0.05
4208	20	0.05
4293	20	0.05
4570	20	0.05
5194	20	0.05
5566	20	0.05
5589	20	0.05
3877	21	0.5
5467	21	0.5
789	22	0.125
2058	22	0.125
2059	22	0.125
2512	22	0.125
2534	22	0.125
2941	22	0.125
4383	22	0.125
5467	22	0.125
1915	23	0.25
2210	23	0.25
4163	23	0.25
4335	23	0.25
1735	24	0.5
4522	24	0.5
1131	25	0.2
2950	25	0.2
3967	25	0.2
4918	25	0.2
5516	25	0.2
1419	26	1.0
28	27	1.0
1035	30	0.2
3378	30	0.2
3493	30	0.2
3956	30	0.2
5267	30	0.2
3509	31	0.25
4335	31	0.25
4985	31	0.25
5327	31	0.25
1419	32	1.0
365	33	0.2
913	33	0.2
1674	33	0.2
1710	33	0.2
5167	33	0.2
249	34	0.25
634	34	0.25
2331	34	0.25
3248	34	0.25
3946	35	0.5
4457	35	0.5
1419	36	1.0
5115	37	0.3333333333333333
5196	37	0.3333333333333333
5559	37	0.3333333333333333
3982	38	1.0
22	39	0.125
461	39	0.125
1461	39	0.125
2534	39	0.125
3101	39	0.125
4044	39	0.125
4167	39	0.125
4518	39	0.125
787	40	0.25
1419	40	0.25
1674	40	0.25
5516	40	0.25
1782	41	0.25
3818	41	0.25
4918	41	0.25
4985	41	0.25
1419	42	1.0
618	43	0.14285714285714285
920	43	0.14285714285714285
1064	43	0.14285714285714285
1070	43	0.14285714285714285
1674	43	0.14285714285714285
4335	43	0.14285714285714285
4918	43	0.14285714285714285
794	44	0.5
4335	44	0.5
365	46	0.058823529411764705
654	46	0.058823529411764705
794	46	0.058823529411764705
1064	46	0.058823529411764705
1131	46	0.058823529411764705
1240	46	0.058823529411764705
1782	46	0.058823529411764705
2816	46	0.058823529411764705
3509	46	0.058823529411764705
3580	46	0.058823529411764705
3967	46	0.058823529411764705
4184	46	0.058823529411764705
4429	46	0.058823529411764705
4846	46	0.058823529411764705
4890	46	0.058823529411764705
5038	46	0.058823529411764705
5516	46	0.058823529411764705
282	47	0.2
1240	47	0.2
2657	47	0.2
3498	47	0.2
4890	47	0.2
812	48	0.3333333333333333
1919	48	0.3333333333333333
3768	48	0.3333333333333333
2374	49	1.0
469	50	0.1111111111111111
654	50	0.1111111111111111
1064	50	0.1111111111111111
1240	50	0.1111111111111111
3967	50	0.1111111111111111
4163	50	0.1111111111111111
4176	50	0.1111111111111111
5327	50	0.1111111111111111
5516	50	0.1111111111111111
5058	51	1.0
29	52	0.14285714285714285
515	52	0.14285714285714285
1171	52	0.14285714285714285
1349	52	0.14285714285714285
1419	52	0.14285714285714285
2998	52	0.14285714285714285
4484	52	0.14285714285714285
800	53	0.25
1419	53	0.25
1674	53	0.25
5327	53	0.25
1101	54	0.25
2657	54	0.25
4335	54	0.25
4505	54	0.25
1182	55	0.5
4406	55	0.5
426	56	0.25
1141	56	0.25
5019	56	0.25
5026	56	0.25
323	58	0.1
716	58	0.1
1198	58	0.1
1334	58	0.1
2452	58	0.1
2639	58	0.1
3179	58	0.1
3195	58	0.1
4335	58	0.1
4846	58	0.1
365	59	0.09090909090909091
996	59	0.09090909090909091
1211	59	0.09090909090909091
1334	59	0.09090909090909091
1419	59	0.09090909090909091
1488	59	0.09090909090909091
2111	59	0.09090909090909091
2452	59	0.09090909090909091
3260	59	0.09090909090909091
3493	59	0.09090909090909091
5007	59	0.09090909090909091
275	60	0.2
1419	60	0.2
1448	60	0.2
2452	60	0.2
4107	60	0.2
933	61	0.3333333333333333
1765	61	0.3333333333333333
4335	61	0.3333333333333333
540	62	0.25
2426	62	0.25
4475	62	0.25
5342	62	0.25
2727	63	0.5
2829	63	0.5
1419	64	1.0
4167	65	0.5
5467	65	0.5
19	66	0.03225806451612903
282	66	0.03225806451612903
365	66	0.03225806451612903
469	66	0.03225806451612903
937	66	0.03225806451612903
1198	66	0.03225806451612903
1240	66	0.03225806451612903
1296	66	0.03225806451612903
1334	66	0.03225806451612903
1510	66	0.03225806451612903
1674	66	0.03225806451612903
1803	66	0.03225806451612903
2010	66	0.03225806451612903
2192	66	0.03225806451612903
2210	66	0.03225806451612903
2337	66	0.03225806451612903
2452	66	0.03225806451612903
2979	66	0.03225806451612903
3260	66	0.03225806451612903
3491	66	0.03225806451612903
3818	66	0.03225806451612903
3956	66	0.03225806451612903
3967	66	0.03225806451612903
4335	66	0.03225806451612903
4429	66	0.03225806451612903
4642	66	0.03225806451612903
4846	66	0.03225806451612903
4985	66	0.03225806451612903
5327	66	0.03225806451612903
5554	66	0.03225806451612903
5591	66	0.03225806451612903
327	67	0.5
1419	67	0.5
325	70	0.08333333333333333
365	70	0.08333333333333333
469	70	0.08333333333333333
920	70	0.08333333333333333
1011	70	0.08333333333333333
1419	70	0.08333333333333333
2452	70	0.08333333333333333
2460	70	0.08333333333333333
4244	70	0.08333333333333333
4335	70	0.08333333333333333
4424	70	0.08333333333333333
5439	70	0.08333333333333333
2504	71	0.25
3952	71	0.25
3981	71	0.25
4251	71	0.25
282	72	0.3333333333333333
1674	72	0.3333333333333333
3179	72	0.3333333333333333
1240	73	0.2
4335	73	0.2
4429	73	0.2
4765	73	0.2
5543	73	0.2
19	74	0.2
1731	74	0.2
2267	74	0.2
2888	74	0.2
4244	74	0.2
1064	75	0.3333333333333333
1070	75	0.3333333333333333
1419	75	0.3333333333333333
469	77	0.09090909090909091
1198	77	0.09090909090909091
1240	77	0.09090909090909091
1334	77	0.09090909090909091
1352	77	0.09090909090909091
1674	77	0.09090909090909091
2657	77	0.09090909090909091
3818	77	0.09090909090909091
4163	77	0.09090909090909091
4765	77	0.09090909090909091
4933	77	0.09090909090909091
937	78	0.5
2221	78	0.5
365	79	0.25
2185	79	0.25
4244	79	0.25
4335	79	0.25
4545	80	1.0
617	81	0.25
3183	81	0.25
3958	81	0.25
4404	81	0.25
938	82	0.3333333333333333
2052	82	0.3333333333333333
2812	82	0.3333333333333333
325	83	1.0
2944	84	1.0
365	85	0.06666666666666667
1131	85	0.06666666666666667
1205	85	0.06666666666666667
1334	85	0.06666666666666667
1419	85	0.06666666666666667
1507	85	0.06666666666666667
1548	85	0.06666666666666667
2382	85	0.06666666666666667
2431	85	0.06666666666666667
2452	85	0.06666666666666667
2888	85	0.06666666666666667
3396	85	0.06666666666666667
4179	85	0.06666666666666667
4335	85	0.06666666666666667
4424	85	0.06666666666666667
253	86	0.16666666666666666
939	86	0.16666666666666666
1419	86	0.16666666666666666
1858	86	0.16666666666666666
2979	86	0.16666666666666666
4008	86	0.16666666666666666
274	87	0.029411764705882353
282	87	0.029411764705882353
436	87	0.029411764705882353
794	87	0.029411764705882353
