16246	84217
13779	0	1.0
1050	1	0.3333333333333333
1672	1	0.3333333333333333
3284	1	0.3333333333333333
856	2	0.16666666666666666
1618	2	0.16666666666666666
2164	2	0.16666666666666666
5308	2	0.16666666666666666
9717	2	0.16666666666666666
15747	2	0.16666666666666666
2853	3	0.2
4022	3	0.2
12105	3	0.2
14519	3	0.2
15468	3	0.2
2455	4	0.3333333333333333
4823	4	0.3333333333333333
12630	4	0.3333333333333333
13035	6	1.0
858	7	0.5
10662	7	0.5
2245	8	0.2
2599	8	0.2
8314	8	0.2
13619	8	0.2
13931	8	0.2
1049	10	0.5
12618	10	0.5
1049	11	0.08333333333333333
1112	11	0.08333333333333333
1355	11	0.08333333333333333
2164	11	0.08333333333333333
4823	11	0.08333333333333333
4987	11	0.08333333333333333
7305	11	0.08333333333333333
10571	11	0.08333333333333333
12038	11	0.08333333333333333
13137	11	0.08333333333333333
15700	11	0.08333333333333333
15747	11	0.08333333333333333
5082	12	0.5
13610	12	0.5
10767	14	1.0
2316	16	0.125
3731	16	0.125
9101	16	0.125
11050	16	0.125
11640	16	0.125
11788	16	0.125
14619	16	0.125
15936	16	0.125
3480	17	0.2
4022	17	0.2
5308	17	0.2
6757	17	0.2
12779	17	0.2
9045	20	0.5
9970	20	0.5
1630	21	0.5
15554	21	0.5
1049	22	0.3333333333333333
9586	22	0.3333333333333333
13137	22	0.3333333333333333
13137	25	1.0
10	26	0.2
1049	26	0.2
6959	26	0.2
8938	26	0.2
12660	26	0.2
8111	27	0.3333333333333333
10993	27	0.3333333333333333
11710	27	0.3333333333333333
5225	28	0.3333333333333333
7245	28	0.3333333333333333
12221	28	0.3333333333333333
12018	29	0.25
12182	29	0.25
13779	29	0.25
16138	29	0.25
4630	30	0.5
13137	30	0.5
681	31	0.25
2545	31	0.25
15394	31	0.25
15626	31	0.25
792	32	0.3333333333333333
1050	32	0.3333333333333333
4373	32	0.3333333333333333
447	33	0.1111111111111111
1049	33	0.1111111111111111
9717	33	0.1111111111111111
10776	33	0.1111111111111111
13137	33	0.1111111111111111
13557	33	0.1111111111111111
14282	33	0.1111111111111111
14604	33	0.1111111111111111
15747	33	0.1111111111111111
3165	34	0.16666666666666666
3201	34	0.16666666666666666
4022	34	0.16666666666666666
9289	34	0.16666666666666666
13137	34	0.16666666666666666
16140	34	0.16666666666666666
5390	35	0.25
13137	35	0.25
14375	35	0.25
15312	35	0.25
2777	36	1.0
405	37	1.0
366	39	0.25
1829	39	0.25
1899	39	0.25
13931	39	0.25
5839	40	0.5
9823	40	0.5
376	41	1.0
13971	42	0.25
14121	42	0.25
16138	42	0.25
16196	42	0.25
2557	43	0.25
2941	43	0.25
8063	43	0.25
11549	43	0.25
872	44	0.08333333333333333
2946	44	0.08333333333333333
6051	44	0.08333333333333333
6734	44	0.08333333333333333
6969	44	0.08333333333333333
7587	44	0.08333333333333333
8186	44	0.08333333333333333
8322	44	0.08333333333333333
8849	44	0.08333333333333333
9964	44	0.08333333333333333
11378	44	0.08333333333333333
13399	44	0.08333333333333333
1086	45	0.3333333333333333
6556	45	0.3333333333333333
8199	45	0.3333333333333333
10	46	0.125
831	46	0.125
1762	46	0.125
2713	46	0.125
3298	46	0.125
7213	46	0.125
8928	46	0.125
11183	46	0.125
505	47	0.07692307692307693
2109	47	0.07692307692307693
2759	47	0.07692307692307693
3211	47	0.07692307692307693
3256	47	0.07692307692307693
3762	47	0.07692307692307693
4379	47	0.07692307692307693
6960	47	0.07692307692307693
9857	47	0.07692307692307693
11075	47	0.07692307692307693
11423	47	0.07692307692307693
11777	47	0.07692307692307693
13030	47	0.07692307692307693
31	48	0.5
3555	48	0.5
11453	50	0.5
15883	50	0.5
191	51	0.125
688	51	0.125
1908	51	0.125
2844	51	0.125
5106	51	0.125
9101	51	0.125
10091	51	0.125
16138	51	0.125
292	52	0.5
9587	52	0.5
4575	54	0.25
5035	54	0.25
8186	54	0.25
12921	54	0.25
7910	55	0.5
8083	55	0.5
10484	56	1.0
5360	57	0.25
6766	57	0.25
11297	57	0.25
15764	57	0.25
2892	58	0.14285714285714285
3640	58	0.14285714285714285
7245	58	0.14285714285714285
7427	58	0.14285714285714285
8547	58	0.14285714285714285
10118	58	0.14285714285714285
