482	17594
0	1	0.012195
0	2	0.025641
0	3	0.013158
0	4	0.019608
0	5	0.018868
0	6	0.066667
0	7	0.013699
0	8	0.016129
0	9	0.016393
0	10	0.015152
0	11	0.021277
0	12	0.014706
0	13	0.014706
0	14	0.032258
0	15	0.019608
0	16	0.011765
0	17	0.012195
0	18	0.016393
0	19	0.013699
0	20	0.006536
0	21	0.007042
0	22	0.006757
0	23	0.007143
0	24	0.009615
0	25	0.008475
0	26	0.007299
0	27	0.006579
0	28	0.008197
0	29	0.005780
0	30	0.009009
0	31	0.010101
0	32	0.010101
0	33	0.013158
0	35	0.011628
0	36	0.012500
0	38	0.010526
0	39	0.010309
0	41	0.013514
0	45	0.008547
0	46	0.011905
0	47	0.014493
0	48	0.012195
0	49	0.017241
0	50	0.015873
0	53	0.012658
0	56	0.016129
0	58	0.018868
0	59	0.009091
0	61	0.017241
0	62	0.015625
0	63	0.015625
0	65	0.017544
0	66	0.018182
0	70	0.015873
0	73	0.019608
0	78	0.017544
0	79	0.020833
0	81	0.017544
0	82	0.018182
0	83	0.021739
0	84	0.017857
0	86	0.017544
0	89	0.020000
0	96	0.018868
0	97	0.025641
0	98	0.024390
0	103	0.020000
0	104	0.021277
0	105	0.022222
0	106	0.021739
0	107	0.019608
0	108	0.022222
0	110	0.020000
0	111	0.024390
0	112	0.028571
0	115	0.027027
0	116	0.026316
0	117	0.025000
0	118	0.025000
0	119	0.027027
0	122	0.023256
0	126	0.021277
0	135	0.031250
0	136	0.021739
0	137	0.026316
0	148	0.031250
0	150	0.026316
0	152	0.027027
0	155	0.028571
0	157	0.038462
0	158	0.033333
0	161	0.025000
0	174	0.027778
0	175	0.038462
0	178	0.037037
0	181	0.031250
0	185	0.035714
0	200	0.038462
0	201	0.041667
0	210	0.032258
0	213	0.031250
0	214	0.034483
0	216	0.027778
0	218	0.027027
0	222	0.033333
0	226	0.041667
0	228	0.037037
0	229	0.038462
0	231	0.035714
0	234	0.045455
0	236	0.029412
0	240	0.043478
0	244	0.040000
0	248	0.041667
0	249	0.040000
0	250	0.031250
0	255	0.031250
0	258	0.043478
0	259	0.043478
0	262	0.030303
0	270	0.034483
0	271	0.045455
0	272	0.038462
0	273	0.043478
0	276	0.034483
0	280	0.034483
0	284	0.043478
0	285	0.037037
0	288	0.040000
0	289	0.047619
0	296	0.035714
0	300	0.035714
0	305	0.047619
0	309	0.040000
0	313	0.040000
0	316	0.043478
0	318	0.041667
0	320	0.043478
0	321	0.047619
0	325	0.037037
