328	8150
0	13	0.009091
0	14	0.008772
0	15	0.010417
0	16	0.007519
0	17	0.012346
0	19	0.018182
0	20	0.015152
0	21	0.011765
0	26	0.029412
0	28	0.029412
0	29	0.035714
0	31	0.038462
0	36	0.020000
0	38	0.029412
0	46	0.031250
0	62	0.050000
0	67	0.047619
0	73	0.026316
0	75	0.018519
0	79	0.043478
0	83	0.029412
0	93	0.043478
0	117	0.043478
0	118	0.052632
0	126	0.043478
0	144	0.052632
0	145	0.055556
0	150	0.055556
0	151	0.062500
0	155	0.071429
0	157	0.047619
0	162	0.052632
0	170	0.062500
0	181	0.066667
0	183	0.066667
0	210	0.052632
0	217	0.062500
0	230	0.052632
0	236	0.066667
0	240	0.076923
0	241	0.050000
0	251	0.071429
0	276	0.076923
1	13	0.009091
1	14	0.008772
1	16	0.007519
1	19	0.018182
1	20	0.015152
1	21	0.011765
1	23	0.016949
1	24	0.029412
1	26	0.029412
1	28	0.029412
1	32	0.017544
1	35	0.021277
1	37	0.020000
1	43	0.030303
1	46	0.031250
1	48	0.024390
1	59	0.030303
1	71	0.031250
1	90	0.055556
1	91	0.035714
1	113	0.052632
1	116	0.071429
1	124	0.058824
1	133	0.041667
1	138	0.050000
1	161	0.050000
1	172	0.041667
1	175	0.047619
1	205	0.076923
1	218	0.071429
1	221	0.058824
1	233	0.062500
1	278	0.076923
1	279	0.062500
1	289	0.062500
1	302	0.071429
1	304	0.076923
1	309	0.076923
1	313	0.071429
1	322	0.076923
2	13	0.009091
2	14	0.008772
2	15	0.010417
2	16	0.007519
2	17	0.012346
2	18	0.012195
2	19	0.018182
2	20	0.015152
2	23	0.016949
2	24	0.029412
2	25	0.017241
2	32	0.017544
2	34	0.019231
2	36	0.020000
2	39	0.020833
2	41	0.017241
2	42	0.026316
2	43	0.030303
2	45	0.013889
2	46	0.031250
2	47	0.020408
2	52	0.023810
2	57	0.027027
2	61	0.050000
2	66	0.026316
2	75	0.018519
2	78	0.026316
2	80	0.021277
2	86	0.040000
2	88	0.055556
