140	1350
0	1	0.027027
0	2	0.100000
0	3	0.038462
0	4	0.500000
0	5	0.040000
0	6	0.040000
0	7	0.032258
0	8	0.024390
0	9	0.023256
0	10	0.090909
0	11	0.083333
0	12	0.047619
0	13	0.058824
0	14	0.043478
0	15	0.066667
0	16	0.040000
0	17	0.083333
0	18	0.055556
0	20	0.083333
0	21	0.071429
0	23	0.100000
0	24	0.076923
0	25	0.083333
0	28	0.125000
0	29	0.083333
0	30	0.062500
0	31	0.062500
0	34	0.125000
0	37	0.100000
0	40	0.125000
0	41	0.058824
0	43	0.166667
0	46	0.076923
0	47	0.100000
0	53	0.100000
0	57	0.125000
0	59	0.166667
0	62	0.125000
0	68	0.125000
0	71	0.142857
0	73	0.125000
0	75	0.166667
0	76	0.125000
0	78	0.142857
0	82	0.111111
0	86	0.142857
0	87	0.166667
0	89	0.200000
0	101	0.166667
0	103	0.125000
0	106	0.200000
0	117	0.200000
0	133	0.200000
1	0	0.018868
1	6	0.040000
1	7	0.032258
1	8	0.024390
1	10	0.090909
1	13	0.058824
1	14	0.043478
1	17	0.083333
1	19	0.055556
1	21	0.071429
1	24	0.076923
1	26	0.125000
1	27	0.125000
1	32	0.062500
1	33	0.066667
1	37	0.100000
1	41	0.058824
1	44	0.111111
1	45	0.142857
1	52	0.200000
1	60	0.142857
1	63	0.100000
1	65	0.125000
1	66	0.166667
1	76	0.125000
1	77	0.200000
1	79	0.111111
1	91	0.166667
1	94	0.200000
1	95	0.142857
1	103	0.125000
1	105	0.166667
1	112	0.200000
1	118	0.142857
1	121	0.142857
1	131	0.200000
1	134	0.200000
2	0	0.018868
2	6	0.040000
2	8	0.024390
2	10	0.090909
2	57	0.125000
2	83	0.166667
2	93	0.166667
2	99	0.142857
2	115	0.200000
2	123	0.200000
3	0	0.018868
3	6	0.040000
3	7	0.032258
3	8	0.024390
3	9	0.023256
3	10	0.090909
3	11	0.083333
3	12	0.047619
3	14	0.043478
3	18	0.055556
3	24	0.076923
3	26	0.125000
3	33	0.066667
3	35	0.200000
3	38	0.125000
3	39	0.111111
