167	1928
0	6	0.019608
0	7	0.027778
0	8	0.022222
0	9	0.050000
0	12	0.043478
0	14	0.032258
0	15	0.045455
0	16	0.071429
0	28	0.142857
0	33	0.038462
0	36	0.062500
0	38	0.142857
0	50	0.071429
0	55	0.100000
0	56	0.066667
0	57	0.076923
0	58	0.125000
0	59	0.125000
0	66	0.125000
0	69	0.100000
0	70	0.071429
0	100	0.166667
0	102	0.090909
0	107	0.166667
0	110	0.166667
0	118	0.166667
0	119	0.166667
0	126	0.166667
0	129	0.166667
0	132	0.166667
0	146	0.166667
0	153	0.166667
1	6	0.019608
1	7	0.027778
1	8	0.022222
1	9	0.050000
1	11	0.062500
1	13	0.030303
1	14	0.032258
1	17	0.058824
1	19	0.027027
1	20	0.058824
1	21	0.058824
1	23	0.041667
1	25	0.062500
1	39	0.062500
1	41	0.125000
1	45	0.058824
1	49	0.100000
1	60	0.111111
1	63	0.125000
1	67	0.083333
1	69	0.100000
1	71	0.142857
1	72	0.090909
1	76	0.111111
1	77	0.142857
1	78	0.090909
1	84	0.142857
1	85	0.111111
1	88	0.111111
1	99	0.111111
1	101	0.125000
1	110	0.166667
1	116	0.166667
1	118	0.166667
1	119	0.166667
1	128	0.166667
1	148	0.166667
1	153	0.166667
1	159	0.142857
2	6	0.019608
2	7	0.027778
2	10	0.025641
2	11	0.062500
2	12	0.043478
2	13	0.030303
2	16	0.071429
2	18	0.058824
2	20	0.058824
2	26	0.058824
2	27	0.058824
2	29	0.071429
2	37	0.055556
2	42	0.083333
2	43	0.125000
2	50	0.071429
2	61	0.125000
2	76	0.111111
2	82	0.100000
2	92	0.142857
2	93	0.166667
2	103	0.111111
2	105	0.111111
2	113	0.142857
2	123	0.125000
2	137	0.125000
2	139	0.166667
2	148	0.166667
2	150	0.166667
2	153	0.166667
3	6	0.019608
3	7	0.027778
3	8	0.022222
3	9	0.050000
3	10	0.025641
3	11	0.062500
3	15	0.045455
3	16	0.071429
3	17	0.058824
3	19	0.027027
3	21	0.058824
3	26	0.058824
3	27	0.058824
3	28	0.142857
3	32	0.052632
3	34	0.125000
3	35	0.100000
3	39	0.062500
3	41	0.125000
3	47	0.066667
3	51	0.100000
3	53	0.166667
3	56	0.066667
3	57	0.076923
3	60	0.111111
3	67	0.083333
3	70	0.071429
3	86	0.142857
3	88	0.111111
3	93	0.166667
3	95	0.125000
3	99	0.111111
3	100	0.166667
3	106	0.125000
3	114	0.125000
3	116	0.166667
3	147	0.166667
3	155	0.142857
3	156	0.166667
3	157	0.166667
4	6	0.019608
4	7	0.027778
4	8	0.022222
4	9	0.050000
4	10	0.025641
4	11	0.062500
4	13	0.030303
4	16	0.071429
4	18	0.058824
4	21	0.058824
4	22	0.058824
4	26	0.058824
4	28	0.142857
4	30	0.076923
4	43	0.125000
4	50	0.071429
4	52	0.052632
4	57	0.076923
4	58	0.125000
4	60	0.111111
4	61	0.125000
4	62	0.100000
4	77	0.142857
4	86	0.142857
4	94	0.142857
4	100	0.166667
4	102	0.090909
4	107	0.166667
4	108	0.142857
4	115	0.125000
4	119	0.166667
4	123	0.125000
4	129	0.166667
4	138	0.166667
4	143	0.166667
4	147	0.166667
4	151	0.200000
4	153	0.166667
5	6	0.019608
5	12	0.043478
5	14	0.032258
5	18	0.058824
5	19	0.027027
5	23	0.041667
5	27	0.058824
5	30	0.076923
5	31	0.111111
5	35	0.100000
5	38	0.142857
5	44	0.090909
5	50	0.071429
5	52	0.052632
5	111	0.142857
5	115	0.125000
5	129	0.166667
5	131	0.125000
5	162	0.166667
6	0	0.031250
6	1	0.025641
6	2	0.033333
6	3	0.025000
6	4	0.026316
6	5	0.052632
6	7	0.027778
6	8	0.022222
6	10	0.025641
6	11	0.062500
6	12	0.043478
6	14	0.032258
6	15	0.045455
6	16	0.071429
6	17	0.058824
6	19	0.027027
6	23	0.041667
6	26	0.058824
6	29	0.071429
6	47	0.066667
6	54	0.083333
6	57	0.076923
6	61	0.125000
6	62	0.100000
6	63	0.125000
6	65	0.083333
6	74	0.142857
6	76	0.111111
6	81	0.142857
6	86	0.142857
6	87	0.142857
6	90	0.125000
6	94	0.142857
6	95	0.125000
6	99	0.111111
6	100	0.166667
6	101	0.125000
6	102	0.090909
6	111	0.142857
6	119	0.166667
6	121	0.125000
6	124	0.166667
6	130	0.125000
6	132	0.166667
6	136	0.142857
6	137	0.125000
6	147	0.166667
6	148	0.166667
6	156	0.166667
6	163	0.166667
6	166	0.166667
7	0	0.031250
7	1	0.025641
7	2	0.033333
7	3	0.025000
7	4	0.026316
7	6	0.019608
7	8	0.022222
7	9	0.050000
7	10	0.025641
7	11	0.062500
7	14	0.032258
7	21	0.058824
7	24	0.055556
7	27	0.058824
7	32	0.052632
7	44	0.090909
7	56	0.066667
7	65	0.083333
7	69	0.100000
7	70	0.071429
7	74	0.142857
7	78	0.090909
7	79	0.125000
7	80	0.166667
7	86	0.142857
7	89	0.125000
7	93	0.166667
7	96	0.142857
7	97	0.125000
7	100	0.166667
7	105	0.111111
7	106	0.125000
7	113	0.142857
7	118	0.166667
7	126	0.166667
7	165	0.166667
8	0	0.031250
8	1	0.025641
8	3	0.025000
8	4	0.026316
8	6	0.019608
8	7	0.027778
8	9	0.050000
8	10	0.025641
8	12	0.043478
8	13	0.030303
8	17	0.058824
8	19	0.027027
8	20	0.058824
8	22	0.058824
8	27	0.058824
8	30	0.076923
8	31	0.111111
8	33	0.038462
8	34	0.125000
8	37	0.055556
8	43	0.125000
8	47	0.066667
8	48	0.058824
8	54	0.083333
8	59	0.125000
8	62	0.100000
8	64	0.125000
8	66	0.125000
8	73	0.142857
8	82	0.100000
8	86	0.142857
8	87	0.142857
8	91	0.166667
8	115	0.125000
8	123	0.125000
8	126	0.166667
8	140	0.100000
8	143	0.166667
8	144	0.142857
8	151	0.200000
8	154	0.142857
8	157	0.166667
8	159	0.142857
8	160	0.166667
8	163	0.166667
9	0	0.031250
9	1	0.025641
9	3	0.025000
9	4	0.026316
9	7	0.027778
9	8	0.022222
9	13	0.030303
9	15	0.045455
9	24	0.055556
9	34	0.125000
9	45	0.058824
9	49	0.100000
9	56	0.066667
9	67	0.083333
9	103	0.111111
9	107	0.166667
9	114	0.125000
9	126	0.166667
9	150	0.166667
9	160	0.166667
10	2	0.033333
10	3	0.025000
10	4	0.026316
10	6	0.019608
10	7	0.027778
10	8	0.022222
10	12	0.043478
10	15	0.045455
10	17	0.058824
10	18	0.058824
10	22	0.058824
10	24	0.055556
10	25	0.062500
10	29	0.071429
10	32	0.052632
10	36	0.062500
10	37	0.055556
10	40	0.071429
10	43	0.125000
10	46	0.076923
10	49	0.100000
10	53	0.166667
10	57	0.076923
10	59	0.125000
10	69	0.100000
10	88	0.111111
10	94	0.142857
10	101	0.125000
10	104	0.166667
10	111	0.142857
10	112	0.166667
10	114	0.125000
10	116	0.166667
10	117	0.166667
10	121	0.125000
10	122	0.166667
10	133	0.166667
10	138	0.166667
10	151	0.200000
11	1	0.025641
11	2	0.033333
11	3	0.025000
11	4	0.026316
11	6	0.019608
11	7	0.027778
11	13	0.030303
11	18	0.058824
11	23	0.041667
11	35	0.100000
11	42	0.083333
11	54	0.083333
11	74	0.142857
11	85	0.111111
11	95	0.125000
11	146	0.166667
12	0	0.031250
12	2	0.033333
12	5	0.052632
12	6	0.019608
12	8	0.022222
12	10	0.025641
12	17	0.058824
12	20	0.058824
12	27	0.058824
12	30	0.076923
12	36	0.062500
12	38	0.142857
12	41	0.125000
12	46	0.076923
12	61	0.125000
12	62	0.100000
12	79	0.125000
12	93	0.166667
12	96	0.142857
12	118	0.166667
12	127	0.166667
12	140	0.100000
12	162	0.166667
13	1	0.025641
13	2	0.033333
13	4	0.026316
13	8	0.022222
13	9	0.050000
13	11	0.062500
13	14	0.032258
13	15	0.045455
13	20	0.058824
13	22	0.058824
13	31	0.111111
13	32	0.052632
13	34	0.125000
13	35	0.100000
13	37	0.055556
13	40	0.071429
13	43	0.125000
13	45	0.058824
13	47	0.066667
13	58	0.125000
13	89	0.125000
13	102	0.090909
13	103	0.111111
13	130	0.125000
13	132	0.166667
13	139	0.166667
13	145	0.166667
13	146	0.166667
13	151	0.200000
13	158	0.166667
13	160	0.166667
13	161	0.142857
13	162	0.166667
14	0	0.031250
14	1	0.025641
14	5	0.052632
14	6	0.019608
14	7	0.027778
14	13	0.030303
14	16	0.071429
14	19	0.027027
14	21	0.058824
14	24	0.055556
14	25	0.062500
14	31	0.111111
14	32	0.052632
14	33	0.038462
14	37	0.055556
14	44	0.090909
14	46	0.076923
14	47	0.066667
14	51	0.100000
14	55	0.100000
14	60	0.111111
14	65	0.083333
14	75	0.090909
14	77	0.142857
14	80	0.166667
14	83	0.166667
14	92	0.142857
14	112	0.166667
14	118	0.166667
14	125	0.166667
14	145	0.166667
15	0	0.031250
15	3	0.025000
15	6	0.019608
15	9	0.050000
15	10	0.025641
15	13	0.030303
15	18	0.058824
15	24	0.055556
15	25	0.062500
15	30	0.076923
15	32	0.052632
15	36	0.062500
15	45	0.058824
15	53	0.166667
15	54	0.083333
15	77	0.142857
15	78	0.090909
15	85	0.111111
15	92	0.142857
15	95	0.125000
15	133	0.166667
15	158	0.166667
16	0	0.031250
16	2	0.033333
16	3	0.025000
16	4	0.026316
16	6	0.019608
16	14	0.032258
16	23	0.041667
16	44	0.090909
16	57	0.076923
16	68	0.125000
16	73	0.142857
16	81	0.142857
16	96	0.142857
16	110	0.166667
17	1	0.025641
17	3	0.025000
17	6	0.019608
17	8	0.022222
17	10	0.025641
17	12	0.043478
17	29	0.071429
17	33	0.038462
17	39	0.062500
17	40	0.071429
17	42	0.083333
17	89	0.125000
17	93	0.166667
17	97	0.125000
17	120	0.142857
17	134	0.142857
17	166	0.166667
18	2	0.033333
18	4	0.026316
18	5	0.052632
18	10	0.025641
18	11	0.062500
18	15	0.045455
18	21	0.058824
18	22	0.058824
18	23	0.041667
18	25	0.062500
18	26	0.058824
18	41	0.125000
18	48	0.058824
18	78	0.090909
18	90	0.125000
18	131	0.125000
18	132	0.166667
19	1	0.025641
19	3	0.025000
19	5	0.052632
19	6	0.019608
19	8	0.022222
19	14	0.032258
19	20	0.058824
19	22	0.058824
19	24	0.055556
19	28	0.142857
19	31	0.111111
19	44	0.090909
19	45	0.058824
19	46	0.076923
19	55	0.100000
19	59	0.125000
19	63	0.125000
19	66	0.125000
19	72	0.090909
19	81	0.142857
19	89	0.125000
19	101	0.125000
19	106	0.125000
19	115	0.125000
19	127	0.166667
19	133	0.166667
19	139	0.166667
19	140	0.100000
19	147	0.166667
19	152	0.166667
19	155	0.142857
19	157	0.166667
19	158	0.166667
19	159	0.142857
19	161	0.142857
19	163	0.166667
19	164	0.166667
20	1	0.025641
20	2	0.033333
20	8	0.022222
20	12	0.043478
20	13	0.030303
20	19	0.027027
20	31	0.111111
20	33	0.038462
20	36	0.062500
20	50	0.071429
20	52	0.052632
20	68	0.125000
20	70	0.071429
20	72	0.090909
