352	9464
0	1	0.031250
0	2	0.023810
0	3	0.016393
0	4	0.025641
0	5	0.043478
0	6	0.013333
0	7	0.017544
0	8	0.027027
0	9	0.020833
0	10	0.014706
0	11	0.034483
0	12	0.022727
0	13	0.022727
0	14	0.045455
0	15	0.009901
0	16	0.008475
0	17	0.007752
0	18	0.008929
0	19	0.014085
0	20	0.011905
0	21	0.010526
0	22	0.013889
0	23	0.014286
0	25	0.015873
0	26	0.020000
0	27	0.017544
0	28	0.014493
0	29	0.013889
0	30	0.013699
0	31	0.015873
0	32	0.023810
0	33	0.026316
0	34	0.022727
0	38	0.022727
0	40	0.017544
0	41	0.017544
0	43	0.017544
0	44	0.020408
0	45	0.022727
0	46	0.017857
0	47	0.019608
0	50	0.025641
0	51	0.020408
0	54	0.025641
0	56	0.018868
0	57	0.023810
0	58	0.021739
0	59	0.025000
0	60	0.029412
0	62	0.032258
0	64	0.021277
0	67	0.029412
0	73	0.027027
0	74	0.026316
0	75	0.031250
0	78	0.030303
0	79	0.047619
0	80	0.029412
0	84	0.043478
0	86	0.038462
0	95	0.027778
0	97	0.045455
0	100	0.047619
0	105	0.043478
0	107	0.030303
0	109	0.038462
0	114	0.033333
0	123	0.043478
0	124	0.045455
0	126	0.040000
0	130	0.038462
0	131	0.047619
0	132	0.047619
0	138	0.041667
0	139	0.047619
0	142	0.058824
0	144	0.045455
0	149	0.040000
0	151	0.071429
0	158	0.041667
0	164	0.043478
0	167	0.038462
0	169	0.047619
0	171	0.052632
0	176	0.047619
0	191	0.041667
0	196	0.052632
0	197	0.050000
0	200	0.066667
0	206	0.055556
0	209	0.045455
0	213	0.062500
0	219	0.052632
0	227	0.052632
0	230	0.066667
0	233	0.055556
0	243	0.062500
0	244	0.066667
0	255	0.066667
0	268	0.066667
0	269	0.062500
0	276	0.052632
0	281	0.066667
0	286	0.071429
0	289	0.062500
0	294	0.058824
0	304	0.062500
0	305	0.066667
0	306	0.055556
0	312	0.066667
0	313	0.066667
0	315	0.071429
0	322	0.071429
0	328	0.066667
0	330	0.071429
0	332	0.066667
0	337	0.071429
0	347	0.071429
0	348	0.071429
1	0	0.008403
1	15	0.009901
1	16	0.008475
1	17	0.007752
1	18	0.008929
1	20	0.011905
1	21	0.010526
1	23	0.014286
1	24	0.010753
1	25	0.015873
1	30	0.013699
1	37	0.017857
1	39	0.019608
1	69	0.033333
1	76	0.026316
1	81	0.030303
1	97	0.045455
1	104	0.047619
1	113	0.037037
1	119	0.034483
1	129	0.045455
1	139	0.047619
1	164	0.043478
1	183	0.047619
1	214	0.045455
1	254	0.055556
1	270	0.066667
1	277	0.058824
1	309	0.062500
1	318	0.066667
1	329	0.071429
1	334	0.071429
2	0	0.008403
2	15	0.009901
2	16	0.008475
2	20	0.011905
2	24	0.010753
2	27	0.017544
2	31	0.015873
2	33	0.026316
2	35	0.012048
2	51	0.020408
2	60	0.029412
2	61	0.023256
2	66	0.022727
2	69	0.033333
2	70	0.024390
2	80	0.029412
2	84	0.043478
2	94	0.033333
2	96	0.034483
2	101	0.041667
2	105	0.043478
2	108	0.040000
2	121	0.032258
2	130	0.038462
2	131	0.047619
2	132	0.047619
2	140	0.043478
2	146	0.040000
2	155	0.055556
2	177	0.050000
2	180	0.062500
2	199	0.058824
2	214	0.045455
2	226	0.058824
2	240	0.058824
2	263	0.058824
2	277	0.058824
2	284	0.071429
2	287	0.062500
2	295	0.066667
2	331	0.066667
2	333	0.066667
3	0	0.008403
3	15	0.009901
3	16	0.008475
3	17	0.007752
3	19	0.014085
3	21	0.010526
3	22	0.013889
3	24	0.010753
3	27	0.017544
3	28	0.014493
3	32	0.023810
3	33	0.026316
3	34	0.022727
3	36	0.018519
3	40	0.017544
3	41	0.017544
3	43	0.017544
3	45	0.022727
3	49	0.017857
3	51	0.020408
3	57	0.023810
3	60	0.029412
3	62	0.032258
3	64	0.021277
3	68	0.029412
3	69	0.033333
3	73	0.027027
3	82	0.025000
3	83	0.045455
3	84	0.043478
3	89	0.058824
3	91	0.040000
3	98	0.037037
3	118	0.052632
3	127	0.047619
3	130	0.038462
3	134	0.034483
3	141	0.040000
3	149	0.040000
3	150	0.041667
3	154	0.038462
3	162	0.052632
3	167	0.038462
3	168	0.052632
3	176	0.047619
3	180	0.062500
3	195	0.055556
3	211	0.050000
3	214	0.045455
3	235	0.058824
3	243	0.062500
3	245	0.058824
3	263	0.058824
3	267	0.066667
3	286	0.071429
3	293	0.066667
