426	13778
0	17	0.006536
0	18	0.007519
0	19	0.006211
0	20	0.006803
0	21	0.006897
0	22	0.009901
0	24	0.009901
0	25	0.011494
0	26	0.017857
0	27	0.017241
0	28	0.022727
0	40	0.014493
0	41	0.008772
0	42	0.015152
0	48	0.015152
0	56	0.023256
0	66	0.020408
0	68	0.026316
0	70	0.020000
0	71	0.017544
0	78	0.022727
0	81	0.015873
0	82	0.014706
0	93	0.041667
0	102	0.027778
0	105	0.027027
0	109	0.029412
0	111	0.025641
0	112	0.035714
0	116	0.030303
0	119	0.025641
0	126	0.050000
0	136	0.038462
0	139	0.030303
0	150	0.029412
0	155	0.047619
0	156	0.045455
0	166	0.032258
0	176	0.037037
0	181	0.037037
0	186	0.040000
0	191	0.050000
0	193	0.045455
0	200	0.041667
0	212	0.041667
0	213	0.043478
0	214	0.037037
0	215	0.045455
0	230	0.034483
0	234	0.041667
0	252	0.047619
0	256	0.040000
0	275	0.047619
0	278	0.047619
0	288	0.052632
0	292	0.043478
0	310	0.050000
0	335	0.050000
0	340	0.055556
0	346	0.055556
0	347	0.055556
0	350	0.052632
0	355	0.052632
0	361	0.047619
0	381	0.055556
0	384	0.050000
0	387	0.058824
0	406	0.055556
0	409	0.058824
0	411	0.058824
1	17	0.006536
1	18	0.007519
1	19	0.006211
1	20	0.006803
1	25	0.011494
1	32	0.009091
1	38	0.011111
1	57	0.027027
1	59	0.027027
1	66	0.020408
1	97	0.026316
1	98	0.025641
1	123	0.027027
1	147	0.030303
1	173	0.033333
1	174	0.025641
1	185	0.037037
1	192	0.035714
1	205	0.034483
1	213	0.043478
1	223	0.050000
1	244	0.050000
1	252	0.047619
1	253	0.052632
1	255	0.058824
1	300	0.047619
1	301	0.055556
1	311	0.041667
1	318	0.055556
1	340	0.055556
1	368	0.052632
1	372	0.052632
1	392	0.058824
1	410	0.055556
1	424	0.058824
2	17	0.006536
2	18	0.007519
2	19	0.006211
2	20	0.006803
2	21	0.006897
2	22	0.009901
2	23	0.009009
2	24	0.009901
2	25	0.011494
2	26	0.017857
2	29	0.023256
2	31	0.025000
2	41	0.008772
2	43	0.012987
2	49	0.014085
2	52	0.021739
2	56	0.023256
2	60	0.022727
2	63	0.033333
2	85	0.033333
2	88	0.031250
2	91	0.027027
2	92	0.037037
2	96	0.028571
2	99	0.023810
2	104	0.027778
2	113	0.031250
2	125	0.047619
2	131	0.026316
2	147	0.030303
2	148	0.038462
2	149	0.034483
2	167	0.033333
2	171	0.032258
2	182	0.050000
2	195	0.040000
2	196	0.037037
2	199	0.033333
2	201	0.040000
2	221	0.050000
2	235	0.045455
2	239	0.045455
2	250	0.040000
2	308	0.043478
2	331	0.050000
2	342	0.055556
2	352	0.055556
2	386	0.055556
2	388	0.058824
2	390	0.058824
2	404	0.058824
3	17	0.006536
3	18	0.007519
3	21	0.006897
3	23	0.009009
3	29	0.023256
3	31	0.025000
3	32	0.009091
3	36	0.013158
3	38	0.011111
3	39	0.014706
3	42	0.015152
3	44	0.014493
3	47	0.015152
3	50	0.014493
3	51	0.016129
3	59	0.027027
3	63	0.033333
3	73	0.022727
3	84	0.029412
3	88	0.031250
3	92	0.037037
3	93	0.041667
3	103	0.031250
3	108	0.032258
3	116	0.030303
3	124	0.040000
3	127	0.050000
3	134	0.035714
3	136	0.038462
3	143	0.024390
3	147	0.030303
3	151	0.029412
3	154	0.033333
3	159	0.047619
3	160	0.030303
3	163	0.034483
3	184	0.045455
3	185	0.037037
3	187	0.045455
3	189	0.047619
3	190	0.050000
3	191	0.050000
3	192	0.035714
3	202	0.032258
3	214	0.037037
3	217	0.050000
3	230	0.034483
3	252	0.047619
3	253	0.052632
3	289	0.052632
3	292	0.043478
3	302	0.045455
3	306	0.052632
3	308	0.043478
3	315	0.055556
3	317	0.055556
3	323	0.038462
3	326	0.050000
3	328	0.055556
3	330	0.055556
3	332	0.052632
3	334	0.047619
3	335	0.050000
3	338	0.052632
3	341	0.058824
3	343	0.055556
3	363	0.055556
3	378	0.052632
3	379	0.055556
3	380	0.058824
3	382	0.058824
3	383	0.058824
3	388	0.058824
3	410	0.055556
3	411	0.058824
3	425	0.058824
4	17	0.006536
4	18	0.007519
4	19	0.006211
4	20	0.006803
4	21	0.006897
4	23	0.009009
4	24	0.009901
4	26	0.017857
4	27	0.017241
4	28	0.022727
4	30	0.030303
4	34	0.009174
4	36	0.013158
4	43	0.012987
4	45	0.013699
4	47	0.015152
4	51	0.016129
4	52	0.021739
4	54	0.017544
4	55	0.019608
4	64	0.017241
4	66	0.020408
4	67	0.016667
4	68	0.026316
4	73	0.022727
4	74	0.013514
4	78	0.022727
4	79	0.022727
4	80	0.021739
4	93	0.041667
4	97	0.026316
4	99	0.023810
4	101	0.020000
4	104	0.027778
4	105	0.027027
4	107	0.030303
4	116	0.030303
4	117	0.031250
4	119	0.025641
4	133	0.034483
4	134	0.035714
4	142	0.030303
4	171	0.032258
4	176	0.037037
4	182	0.050000
4	207	0.040000
4	208	0.040000
4	209	0.032258
4	210	0.032258
4	222	0.047619
4	226	0.043478
4	247	0.045455
4	249	0.043478
4	251	0.038462
4	255	0.058824
4	263	0.045455
4	278	0.047619
4	331	0.050000
4	344	0.050000
4	354	0.052632
4	380	0.058824
4	401	0.058824
4	406	0.055556
4	425	0.058824
5	17	0.006536
5	18	0.007519
5	19	0.006211
5	20	0.006803
5	21	0.006897
5	22	0.009901
5	23	0.009009
5	24	0.009901
5	25	0.011494
5	26	0.017857
5	27	0.017241
5	28	0.022727
5	30	0.030303
5	31	0.025000
5	34	0.009174
5	35	0.013158
5	36	0.013158
5	37	0.018868
5	38	0.011111
5	39	0.014706
5	40	0.014493
5	42	0.015152
5	46	0.015873
5	50	0.014493
5	54	0.017544
5	55	0.019608
5	58	0.022222
5	59	0.027027
5	61	0.040000
5	64	0.017241
5	66	0.020408
5	68	0.026316
5	69	0.022727
5	71	0.017544
5	73	0.022727
5	76	0.031250
5	79	0.022727
5	82	0.014706
5	86	0.025000
5	88	0.031250
5	89	0.022222
5	90	0.023256
5	94	0.045455
5	99	0.023810
5	101	0.020000
5	103	0.031250
5	110	0.034483
5	112	0.035714
5	113	0.031250
5	118	0.035714
5	119	0.025641
5	124	0.040000
5	128	0.028571
5	136	0.038462
5	149	0.034483
5	150	0.029412
5	161	0.037037
5	177	0.031250
5	179	0.045455
5	186	0.040000
5	191	0.050000
5	193	0.045455
5	194	0.027027
5	195	0.040000
5	198	0.040000
5	200	0.041667
5	201	0.040000
5	202	0.032258
5	205	0.034483
5	221	0.050000
5	231	0.041667
5	233	0.052632
5	234	0.041667
5	236	0.043478
5	241	0.043478
5	247	0.045455
5	282	0.052632
5	283	0.055556
5	284	0.050000
5	295	0.052632
5	302	0.045455
5	307	0.050000
5	314	0.052632
5	315	0.055556
5	317	0.055556
5	322	0.045455
5	339	0.055556
5	343	0.055556
5	347	0.055556
5	351	0.058824
5	355	0.052632
5	356	0.058824
5	362	0.050000
5	364	0.055556
5	370	0.058824
5	387	0.058824
5	393	0.058824
5	403	0.058824
6	17	0.006536
6	18	0.007519
6	19	0.006211
6	20	0.006803
6	22	0.009901
6	25	0.011494
6	26	0.017857
6	27	0.017241
6	28	0.022727
6	29	0.023256
6	30	0.030303
6	31	0.025000
6	33	0.015873
6	37	0.018868
6	40	0.014493
6	42	0.015152
6	43	0.012987
6	47	0.015152
6	48	0.015152
6	49	0.014085
6	57	0.027027
6	64	0.017241
6	67	0.016667
6	68	0.026316
6	70	0.020000
6	71	0.017544
6	72	0.020000
6	75	0.015873
6	76	0.031250
6	86	0.025000
6	89	0.022222
6	106	0.024390
6	108	0.032258
6	111	0.025641
6	121	0.025641
6	122	0.033333
6	125	0.047619
6	126	0.050000
6	134	0.035714
6	147	0.030303
6	149	0.034483
6	152	0.043478
6	154	0.033333
6	156	0.045455
6	164	0.028571
6	167	0.033333
6	178	0.029412
6	183	0.037037
6	184	0.045455
6	187	0.045455
6	203	0.052632
6	215	0.045455
6	218	0.038462
6	228	0.037037
6	229	0.047619
6	239	0.045455
6	251	0.038462
6	257	0.043478
6	263	0.045455
6	266	0.045455
6	267	0.038462
6	300	0.047619
6	309	0.045455
6	311	0.041667
6	316	0.058824
6	319	0.052632
6	322	0.045455
6	323	0.038462
6	330	0.055556
6	343	0.055556
6	366	0.052632
6	373	0.055556
6	375	0.055556
6	386	0.055556
6	409	0.058824
6	411	0.058824
6	413	0.058824
6	414	0.055556
6	422	0.055556
7	17	0.006536
7	19	0.006211
7	20	0.006803
7	22	0.009901
7	23	0.009009
7	27	0.017241
7	28	0.022727
7	30	0.030303
7	35	0.013158
7	42	0.015152
7	43	0.012987
7	47	0.015152
7	48	0.015152
7	51	0.016129
7	56	0.023256
7	69	0.022727
7	72	0.020000
7	73	0.022727
7	74	0.013514
7	78	0.022727
7	80	0.021739
7	84	0.029412
7	88	0.031250
7	90	0.023256
7	95	0.045455
7	120	0.029412
7	128	0.028571
7	132	0.026316
7	140	0.043478
7	142	0.030303
7	143	0.024390
7	145	0.027027
7	146	0.032258
7	148	0.038462
7	156	0.045455
7	160	0.030303
7	162	0.038462
7	197	0.037037
7	203	0.052632
7	207	0.040000
7	209	0.032258
7	211	0.034483
7	219	0.055556
7	228	0.037037
7	229	0.047619
7	235	0.045455
7	246	0.043478
7	247	0.045455
7	255	0.058824
7	268	0.047619
7	271	0.043478
7	273	0.043478
7	282	0.052632
7	284	0.050000
7	288	0.052632
7	300	0.047619
7	305	0.045455
7	327	0.055556
7	328	0.055556
7	337	0.050000
7	343	0.055556
7	351	0.058824
7	368	0.052632
7	372	0.052632
7	381	0.055556
7	382	0.058824
7	385	0.052632
7	399	0.055556
7	407	0.058824
7	409	0.058824
7	410	0.055556
7	412	0.062500
7	416	0.058824
8	17	0.006536
8	18	0.007519
8	19	0.006211
8	20	0.006803
8	21	0.006897
8	22	0.009901
8	27	0.017241
8	29	0.023256
8	31	0.025000
8	33	0.015873
8	34	0.009174
8	35	0.013158
8	44	0.014493
8	45	0.013699
8	49	0.014085
8	50	0.014493
8	57	0.027027
8	58	0.022222
8	63	0.033333
8	64	0.017241
8	66	0.020408
8	72	0.020000
8	74	0.013514
