186	2506
0	1	0.043478
0	2	0.038462
0	3	0.037037
0	4	0.050000
0	5	0.033333
0	6	0.125000
0	7	0.050000
0	8	0.019231
0	9	0.021277
0	10	0.035714
0	11	0.016129
0	12	0.022222
0	13	0.028571
0	17	0.029412
0	20	0.028571
0	23	0.052632
0	26	0.033333
0	27	0.052632
0	33	0.050000
0	36	0.062500
0	38	0.050000
0	60	0.071429
0	61	0.062500
0	68	0.100000
0	69	0.090909
0	72	0.062500
0	76	0.083333
0	93	0.111111
0	95	0.071429
0	97	0.142857
0	98	0.083333
0	99	0.142857
0	106	0.125000
0	121	0.142857
0	123	0.100000
0	124	0.066667
0	128	0.090909
0	129	0.111111
0	131	0.100000
0	139	0.142857
0	148	0.111111
0	152	0.111111
0	184	0.142857
1	0	0.023256
1	8	0.019231
1	9	0.021277
1	10	0.035714
1	12	0.022222
1	13	0.028571
1	18	0.025000
1	21	0.083333
1	29	0.090909
1	32	0.043478
1	34	0.066667
1	35	0.071429
1	52	0.047619
1	56	0.076923
1	92	0.100000
1	96	0.100000
1	99	0.142857
1	106	0.125000
1	123	0.100000
1	128	0.090909
1	143	0.142857
1	154	0.142857
1	171	0.125000
2	0	0.023256
2	8	0.019231
2	9	0.021277
2	11	0.016129
2	13	0.028571
2	17	0.029412
2	19	0.035714
2	21	0.083333
2	29	0.090909
2	37	0.066667
2	48	0.083333
2	59	0.040000
2	60	0.071429
2	88	0.076923
2	93	0.111111
2	102	0.111111
2	117	0.100000
2	135	0.125000
2	142	0.142857
2	147	0.111111
2	149	0.111111
2	152	0.111111
2	156	0.142857
2	161	0.125000
2	173	0.142857
2	174	0.142857
3	0	0.023256
3	8	0.019231
3	9	0.021277
3	10	0.035714
3	11	0.016129
3	13	0.028571
3	14	0.035714
3	18	0.025000
3	19	0.035714
3	22	0.043478
3	23	0.052632
3	26	0.033333
3	28	0.052632
3	41	0.071429
3	46	0.100000
3	48	0.083333
3	60	0.071429
3	65	0.083333
3	69	0.090909
3	79	0.090909
3	84	0.111111
3	108	0.111111
3	130	0.125000
3	142	0.142857
3	146	0.125000
3	150	0.142857
3	180	0.142857
4	0	0.023256
4	8	0.019231
4	9	0.021277
4	11	0.016129
4	12	0.022222
4	14	0.035714
4	15	0.043478
4	19	0.035714
4	30	0.062500
4	33	0.050000
4	37	0.066667
4	50	0.100000
4	51	0.100000
4	88	0.076923
4	99	0.142857
4	113	0.090909
4	119	0.111111
4	136	0.125000
4	141	0.111111
4	177	0.142857
5	0	0.023256
5	8	0.019231
5	10	0.035714
5	12	0.022222
5	14	0.035714
5	16	0.032258
5	17	0.029412
5	23	0.052632
5	25	0.066667
5	26	0.033333
5	28	0.052632
5	32	0.043478
5	36	0.062500
5	38	0.050000
5	45	0.090909
5	53	0.071429
5	57	0.058824
5	62	0.090909
5	63	0.071429
5	83	0.100000
5	89	0.090909
5	101	0.100000
5	108	0.111111
5	113	0.090909
5	153	0.142857
5	158	0.125000
5	159	0.142857
5	166	0.125000
5	175	0.142857
5	184	0.142857
6	0	0.023256
6	8	0.019231
6	9	0.021277
6	21	0.083333
6	30	0.062500
6	74	0.076923
6	117	0.100000
6	150	0.142857
7	0	0.023256
7	10	0.035714
7	12	0.022222
7	26	0.033333
7	42	0.083333
7	43	0.076923
7	44	0.083333
7	46	0.100000
7	54	0.090909
7	67	0.055556
7	80	0.076923
7	84	0.111111
7	91	0.125000
7	110	0.090909
7	114	0.083333
7	120	0.111111
7	125	0.111111
7	129	0.111111
7	158	0.125000
7	184	0.142857
8	0	0.023256
8	1	0.043478
8	2	0.038462
8	3	0.037037
8	4	0.050000
8	5	0.033333
8	6	0.125000
8	9	0.021277
8	10	0.035714
8	11	0.016129
8	13	0.028571
8	14	0.035714
8	15	0.043478
8	16	0.032258
8	20	0.028571
8	21	0.083333
8	25	0.066667
8	28	0.052632
8	32	0.043478
8	33	0.050000
8	34	0.066667
8	36	0.062500
8	39	0.076923
8	42	0.083333
8	44	0.083333
8	46	0.100000
8	47	0.055556
8	56	0.076923
8	61	0.062500
8	64	0.083333
8	66	0.100000
8	75	0.055556
8	77	0.083333
8	82	0.111111
8	84	0.111111
8	85	0.076923
8	86	0.083333
8	87	0.083333
8	94	0.142857
8	98	0.083333
8	101	0.100000
8	103	0.111111
8	104	0.125000
8	105	0.111111
8	106	0.125000
8	114	0.083333
8	118	0.090909
8	140	0.142857
8	160	0.125000
8	173	0.142857
8	179	0.142857
8	185	0.142857
9	0	0.023256
9	1	0.043478
9	2	0.038462
9	3	0.037037
9	4	0.050000
9	6	0.125000
9	8	0.019231
9	10	0.035714
9	11	0.016129
9	12	0.022222
9	14	0.035714
9	15	0.043478
9	16	0.032258
9	18	0.025000
9	19	0.035714
9	20	0.028571
9	22	0.043478
9	23	0.052632
9	24	0.047619
9	25	0.066667
9	30	0.062500
9	37	0.066667
9	39	0.076923
9	40	0.047619
9	41	0.071429
9	48	0.083333
9	49	0.071429
9	55	0.052632
9	63	0.071429
9	65	0.083333
9	71	0.090909
9	75	0.055556
9	77	0.083333
9	80	0.076923
9	81	0.076923
9	84	0.111111
9	103	0.111111
9	109	0.125000
9	115	0.083333
9	118	0.090909
9	124	0.066667
9	130	0.125000
9	133	0.142857
9	153	0.142857
9	164	0.125000
9	170	0.142857
9	178	0.142857
10	0	0.023256
10	1	0.043478
10	3	0.037037
10	5	0.033333
10	7	0.050000
10	8	0.019231
10	9	0.021277
10	11	0.016129
10	13	0.028571
10	16	0.032258
10	18	0.025000
10	31	0.050000
10	38	0.050000
10	41	0.071429
10	44	0.083333
10	47	0.055556
10	51	0.100000
10	52	0.047619
10	54	0.090909
10	59	0.040000
10	66	0.100000
10	94	0.142857
10	101	0.100000
10	104	0.125000
10	108	0.111111
10	112	0.100000
10	119	0.111111
10	130	0.125000
11	0	0.023256
11	2	0.038462
11	3	0.037037
11	4	0.050000
11	8	0.019231
11	9	0.021277
11	10	0.035714
11	12	0.022222
11	13	0.028571
11	14	0.035714
11	15	0.043478
11	16	0.032258
11	17	0.029412
11	18	0.025000
11	20	0.028571
11	22	0.043478
11	24	0.047619
11	25	0.066667
11	26	0.033333
11	27	0.052632
11	28	0.052632
11	29	0.090909
11	31	0.050000
11	32	0.043478
11	35	0.071429
11	36	0.062500
11	37	0.066667
11	38	0.050000
11	39	0.076923
