158	1814
0	6	0.019608
0	7	0.019608
0	8	0.024390
0	9	0.025641
0	10	0.055556
0	11	0.027778
0	12	0.071429
0	15	0.083333
0	19	0.083333
0	20	0.043478
0	22	0.090909
0	26	0.083333
0	29	0.111111
0	44	0.090909
0	47	0.071429
0	50	0.083333
0	54	0.100000
0	55	0.076923
0	58	0.142857
0	59	0.111111
0	61	0.125000
0	68	0.076923
0	75	0.090909
0	86	0.166667
0	92	0.125000
0	95	0.125000
0	97	0.125000
0	107	0.142857
0	108	0.142857
0	111	0.090909
0	121	0.166667
0	131	0.166667
0	140	0.166667
0	141	0.166667
0	145	0.142857
0	155	0.166667
1	6	0.019608
1	7	0.019608
1	8	0.024390
1	9	0.025641
1	10	0.055556
1	15	0.083333
1	17	0.050000
1	22	0.090909
1	27	0.047619
1	29	0.111111
1	31	0.125000
1	33	0.083333
1	35	0.062500
1	36	0.125000
1	37	0.055556
1	38	0.043478
1	39	0.090909
1	41	0.076923
1	50	0.083333
1	52	0.111111
1	54	0.100000
1	58	0.142857
1	59	0.111111
1	69	0.125000
1	71	0.166667
1	72	0.111111
1	75	0.090909
1	79	0.090909
1	85	0.125000
1	93	0.125000
1	99	0.166667
1	100	0.111111
1	106	0.142857
1	111	0.090909
1	114	0.166667
1	115	0.142857
1	120	0.142857
1	121	0.166667
1	140	0.166667
1	142	0.142857
1	143	0.142857
1	144	0.166667
1	148	0.166667
2	6	0.019608
2	7	0.019608
2	8	0.024390
2	22	0.090909
2	26	0.083333
2	28	0.100000
2	34	0.076923
2	37	0.055556
2	43	0.083333
2	46	0.071429
2	59	0.111111
2	88	0.142857
2	89	0.100000
2	97	0.125000
2	115	0.142857
2	141	0.166667
3	6	0.019608
3	7	0.019608
3	9	0.025641
3	10	0.055556
3	11	0.027778
3	13	0.032258
3	16	0.038462
3	17	0.050000
3	18	0.050000
3	19	0.083333
3	22	0.090909
3	23	0.090909
3	26	0.083333
3	31	0.125000
3	32	0.050000
3	33	0.083333
3	35	0.062500
3	38	0.043478
3	42	0.076923
3	43	0.083333
3	44	0.090909
3	45	0.058824
3	49	0.111111
3	51	0.071429
3	55	0.076923
3	65	0.111111
3	66	0.076923
3	68	0.076923
3	70	0.090909
3	73	0.125000
3	75	0.090909
3	80	0.125000
3	83	0.111111
3	86	0.166667
3	88	0.142857
3	92	0.125000
3	93	0.125000
3	95	0.125000
3	97	0.125000
3	98	0.142857
3	105	0.166667
3	109	0.125000
3	115	0.142857
3	135	0.142857
3	138	0.166667
3	157	0.166667
4	6	0.019608
4	7	0.019608
4	8	0.024390
4	9	0.025641
4	11	0.027778
4	13	0.032258
4	14	0.052632
4	15	0.083333
4	18	0.050000
4	21	0.047619
4	24	0.062500
4	26	0.083333
4	28	0.100000
4	31	0.125000
4	33	0.083333
4	34	0.076923
4	36	0.125000
4	38	0.043478
4	41	0.076923
4	48	0.125000
4	51	0.071429
4	64	0.125000
4	65	0.111111
4	70	0.090909
4	74	0.125000
4	78	0.166667
4	79	0.090909
4	86	0.166667
4	99	0.166667
4	104	0.125000
4	105	0.166667
4	109	0.125000
4	113	0.142857
4	133	0.166667
4	136	0.142857
4	148	0.166667
5	6	0.019608
5	8	0.024390
5	18	0.050000
5	26	0.083333
5	48	0.125000
5	67	0.100000
5	76	0.090909
5	82	0.125000
5	112	0.125000
5	119	0.111111
5	157	0.166667
6	0	0.027778
6	1	0.023256
6	2	0.062500
6	3	0.021739
6	4	0.027778
6	5	0.090909
6	7	0.019608
6	8	0.024390
6	9	0.025641
6	10	0.055556
6	11	0.027778
6	12	0.071429
6	15	0.083333
6	16	0.038462
6	17	0.050000
6	20	0.043478
6	22	0.090909
6	23	0.090909
6	25	0.125000
6	27	0.047619
6	28	0.100000
6	29	0.111111
6	32	0.050000
6	33	0.083333
6	37	0.055556
6	39	0.090909
6	43	0.083333
6	44	0.090909
6	46	0.071429
6	62	0.142857
6	64	0.125000
6	67	0.100000
6	68	0.076923
6	70	0.090909
6	71	0.166667
6	79	0.090909
6	80	0.125000
6	85	0.125000
6	86	0.166667
6	94	0.142857
6	101	0.166667
6	104	0.125000
6	105	0.166667
6	109	0.125000
6	116	0.142857
6	129	0.142857
6	133	0.166667
6	137	0.142857
6	139	0.166667
6	143	0.142857
6	156	0.166667
7	0	0.027778
7	1	0.023256
7	2	0.062500
7	3	0.021739
7	4	0.027778
7	6	0.019608
7	9	0.025641
7	10	0.055556
7	11	0.027778
7	12	0.071429
7	13	0.032258
7	14	0.052632
7	18	0.050000
7	19	0.083333
7	20	0.043478
7	21	0.047619
7	23	0.090909
7	24	0.062500
7	25	0.125000
7	30	0.083333
7	32	0.050000
7	36	0.125000
7	38	0.043478
7	43	0.083333
7	45	0.058824
7	46	0.071429
7	54	0.100000
7	56	0.111111
7	60	0.090909
7	66	0.076923
7	69	0.125000
7	77	0.100000
7	78	0.166667
7	84	0.100000
7	87	0.142857
7	89	0.100000
7	91	0.142857
7	93	0.125000
7	98	0.142857
7	102	0.125000
7	104	0.125000
7	114	0.166667
7	116	0.142857
7	117	0.142857
7	123	0.125000
7	124	0.142857
7	140	0.166667
7	145	0.142857
7	146	0.166667
